k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211044267,7.406,0.027,7.37,0.015,7.343,0.009,7.79,7.473,0.032,0.21737766,1.009509,0.22940329,19.406424,1.7664,0.0086,nan,nan
211030057,12.834,0.018,12.18,0.021,11.922,0.016,16.83,7.191,0.047,2.7443657,1.0598742,1.2532743,0.74374074,0.4031,0.0034,3371.0,42.0
211107116,13.748,0.025,13.118,0.024,12.881,0.03,nan,7.373,0.067,2.9624004,1.0551442,1.300923,1.4061627,0.2576,0.0044,nan,nan
211056628,15.068,0.04,14.394,0.047,14.014,0.053,nan,7.582,0.243,3.35746,1.046665,1.0832745,1.6389376,0.1475,0.0057,nan,nan
211036595,14.737,0.037,14.167,0.044,13.741,0.043,nan,7.072,0.184,3.437399,0.99587977,-0.056563072,0.13771707,0.1788,0.0059,nan,nan
211087739,12.242,0.019,11.589,0.015,11.365,0.017,16.98,7.39,0.041,2.3478098,1.0457706,0.9016616,0.8994737,0.4848,0.0034,3134.0,42.0
210886447,13.702,0.018,13.147,0.026,12.82,0.025,nan,7.908,0.071,3.1077242,0.9688982,-0.6379556,0.0,0.2467,0.0037,nan,nan
211056099,13.702,0.018,13.135,0.03,12.814,0.024,18.3,7.339,0.086,3.0882645,1.1373919,3.1062257,3.5064735,0.2671,0.0044,3176.0,42.0
211075014,13.752,0.026,13.158,0.027,12.874,0.025,nan,7.491,0.108,3.0139809,0.8414757,-3.0669749,5.2355204,0.2543,0.0048,nan,nan
211090001,13.958,0.036,13.334,0.042,13.047,0.035,nan,7.58,0.107,3.0123444,1.060084,1.2058163,0.91295105,0.2313,0.0051,nan,nan
211021098,13.406,0.019,12.804,0.024,12.563,0.025,nan,7.34,0.064,2.891183,1.0396391,0.83034396,0.0,0.3,0.0043,nan,nan
211045153,11.742,0.017,11.161,0.022,10.896,0.015,nan,--,--,2.628028,nan,263.5298,11163.061597733378,nan,nan,nan,nan
211107623,10.807,0.017,10.244,0.013,10.128,0.018,12.965,7.422,0.013,1.4014874,0.990435,-0.1976274,3.2495818,0.678,0.0027,4405.0,77.0
210922592,10.53,0.021,10.013,0.02,9.895,0.016,12.333,7.637,0.014,1.2186346,0.88940537,-2.40813,2.2041914,0.7943,0.0061,4756.0,78.0
210989043,13.018,0.019,12.382,0.023,12.147,0.02,17.33,7.307,0.05,2.8412933,1.0177438,0.42978165,0.5606888,0.3621,0.0038,3266.0,42.0
211118985,13.719,0.023,13.045,0.022,12.802,0.029,nan,7.429,0.093,3.0793123,1.0942961,2.0272462,2.5470533,0.2653,0.005,nan,nan
211031682,14.199,0.025,13.661,0.024,13.346,0.031,18.65,7.549,0.103,3.1785507,0.96674895,-0.6612376,0.0,0.2015,0.0041,3222.0,43.0
211090094,13.688,0.023,13.075,0.025,12.765,0.026,18.3,7.343,0.11,3.240552,0.91802347,-1.5333383,0.0,0.2731,0.0053,3172.0,43.0
