#ID amp_k2 er_k2 amp_tess er_tess amp_qlp er_qlp
211037886 0.009342499444899482 0.0018983629261054395 0.00977548154508471 0.0005643947126521008 0.010828427134419697 0.00045114346143022583
210899260 0.006612031206814887 0.0008450570571773169 0.002896074312041097 0.0007208963888661447 0.005568041095820168 0.0004069568162561204
210666330 0.0048685225260512305 0.00018516765940312062 0.003833441556477573 0.0008002709302660528 0.004660542239112718 0.0006099215603252762
210675409 0.009493954350275969 0.00025004298200758746 0.005509763260314243 0.0007737099730469911 0.004275554819399027 0.0002680461279089695
247363759 0.001190767789962854 0.0007318102446868199 0.015993173605787683 0.0009057591237295673 0.01622974292340064 0.0005158179227959213
246794704 0.009385920147127504 0.00015309171559232883 0.0037149273849081755 0.0008933969999083055 0.004260001036220673 0.00047358694009142584
211041649 0.034381231532746026 0.008604467908045496 0.028080479767167037 0.0016180404003113189 0.01721219783479828 0.0008435613807601522
210786154 0.013324040599122906 0.00016959639380668403 0.0065178698001146975 0.0008664656330560324 0.007750834728570957 0.00043007960044174807
211049709 0.010674268059713471 0.00018849900930878417 0.007408590497998201 0.0019655010025168944 0.007840372061511676 0.0005050488547695285
246875518 0.005511360484881144 0.00011523455652718618 0.0017831409617391893 0.0007897177967102305 0.0029308140373336964 0.0003798504529312762
247857331 0.01526830284572186 0.0007084302937312205 0.0226198756842099 0.0009806718125178109 0.022369248508443997 0.0006368667010436362
210652965 0.010562912737233098 0.0003713411441307947 0.007718953851293589 0.000987904753920496 0.008748081227636791 0.0004833852107369264
247002634 0.006974107868788862 0.00014912326488825838 0.006811964944911534 0.0009251393765490231 0.008366403817438837 0.000515531351849149
210674406 0.005728619932631292 0.00011243210575789743 0.0025020576209480666 0.0010609308978802685 0.0046294870191622445 0.0005573653929852771
210772796 0.0008913243543349524 0.00047356841833055846 0.0030683330381272517 0.0011586117464179818 0.009200640994079167 0.0006810563412274649
210359769 0.009789964730920812 0.0001248607577310117 0.0014179424436842648 0.0011621076907996366 0.006808704199721287 0.0008312373095802281
211058178 0.00515098214415657 8.435962105296656e-05 0.003236946113766028 0.0013486520909873185 0.004014530373622016 0.0006521541829711702
247134293 0.00789977129921932 0.00010661818578586299 0.006921397076402044 0.002079022571116161 0.0076103688288036275 0.0006776929702203556
210551925 0.009610601366197336 0.00016196461857380536 0.0012736825457395848 0.0011596137715179711 0.32075981533501297 0.6445819588638391
248045685 0.0021453605945756355 8.60222210900143e-05 0.00034838973085051786 0.001318727723345851 0.0026325586461293364 0.0006564206680841528
247369717 0.00289128557295499 8.745628916177598e-05 0.0012375219391647302 0.0013230674088657802 0.0019046202801733091 0.0007052622429733937
246865157 0.007944464572187629 0.00011300684218721235 0.0018693524394821934 0.0013042808882982166 0.004775948561619188 0.0006583607629557995
210554781 0.008645487829981086 0.0006198674942781008 nan nan 1.2702908053120563 0.34546340600854286
