k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211938350,14.401,0.027,13.863,0.044,13.547,0.038,19.49,5.266,0.125,2.9389668,0.9712896,-0.7860975,0.0,0.2655,0.008,3057.0,43.0
211989144,14.456,0.031,13.808,0.032,13.565,0.036,19.96,5.267,0.14,2.9377766,1.0421504,1.3091582,1.4860873,0.2632,0.0084,2954.0,43.0
212010154,12.054,0.018,11.382,0.022,11.21,0.018,14.19,5.291,0.022,1.8124437,1.0060458,0.19768824,0.0,0.6258,0.0031,4461.0,77.0
211989950,11.746,0.02,11.139,0.019,10.989,0.015,14.138,5.362,0.023,1.6396637,1.0208546,0.5891283,0.0,0.6547,0.0026,4239.0,77.0
211993172,11.634,0.022,11.036,0.023,10.871,0.017,13.941,5.396,0.019,1.5593233,0.91776204,-2.3769083,0.0,0.6702,0.0028,4310.0,77.0
211905676,14.311,0.02,13.729,0.033,13.47,0.03,19.39,5.475,0.118,2.915245,0.99750155,-0.022524582,0.0,0.2645,0.0069,3060.0,42.0
211996321,11.884,0.02,11.22,0.021,11.071,0.018,14.216,5.398,0.018,1.692482,0.9763512,-0.6989878,0.0,0.6402,0.0029,4289.0,77.0
211988832,14.754,0.036,14.172,0.044,13.884,0.05,19.96,5.32,0.21,3.1033955,1.0355402,1.0787463,4.586804,0.2239,0.0106,3026.0,43.0
211959779,10.556,0.015,10.24,0.019,10.133,0.018,11.952,5.228,0.019,0.975317,0.8695365,-2.875411,4.7800903,1.0014,0.0031,5250.0,77.0
211936906,10.012,0.019,9.698,0.021,9.655,0.018,11.47,5.215,0.032,0.817359,1.0717934,1.516952,18.093458,1.0893,0.0112,5176.0,78.0
211931128,10.763,0.02,10.346,0.024,10.257,0.017,12.281,5.525,0.019,1.088026,0.9699022,-0.6701997,4.4916162,0.9178,0.0106,5105.0,79.0
211978779,11.817,0.018,11.088,0.019,10.974,0.016,14.112,5.345,0.022,1.6346388,1.0852654,2.6936362,0.0,0.6579,0.0027,4320.0,77.0
211914098,12.581,0.017,11.901,0.017,11.713,0.021,16.45,5.406,0.037,2.1281166,1.0530388,1.2416842,0.8654984,0.5391,0.0042,3438.0,42.0
211932539,11.54,0.018,10.944,0.017,10.833,0.013,13.605,5.367,0.015,1.4516087,0.98631454,-0.3780391,0.0,0.6775,0.0021,4528.0,77.0
211928486,11.394,0.017,10.848,0.019,10.696,0.014,13.433,5.357,0.014,1.4022284,1.0235926,0.71113604,0.0,0.6984,0.0459,4552.0,77.0
211994382,14.869,0.04,14.268,0.05,13.985,0.038,19.93,5.647,0.188,3.1264534,1.0237923,0.52144,0.7092126,0.2006,0.0078,3065.0,43.0
211909748,10.769,0.023,10.306,0.025,10.154,0.019,12.759,5.468,0.022,1.2351227,1.106098,2.9590995,8.810486,0.9827,0.0037,4600.0,78.0
211901402,12.11,0.017,11.431,0.022,11.289,0.017,14.958,5.492,0.024,1.8634634,1.0557474,1.2233906,0.0,0.6012,0.003,3907.0,76.0
211900700,10.766,0.02,10.35,0.024,10.262,0.016,12.334,5.43,0.021,1.0597439,1.2665277,7.4133835,21.257875,0.9366,0.0103,5047.0,78.0
212031189,14.279,0.021,13.685,0.029,13.359,0.03,19.31,5.234,0.108,2.9302845,1.0492122,1.0692245,1.6441512,0.2915,0.0072,3073.0,42.0
211936827,10.66,0.018,10.242,0.017,10.173,0.013,12.163,5.439,0.018,1.0341082,1.296237,8.548169,26.98203,0.9815,0.003,5123.0,78.0
211913977,11.162,0.02,10.678,0.021,10.536,0.017,12.892,5.396,0.019,1.2216587,0.9939663,-0.14332366,4.4331937,0.8345,0.0062,4867.0,78.0
211950941,11.556,0.018,11.025,0.019,10.826,0.017,13.642,5.466,0.018,1.5036154,0.9669587,-0.76533574,1.1904544e-15,0.6727,0.0027,4508.0,77.0
212017838,13.335,0.017,12.68,0.024,12.482,0.019,17.43,5.396,0.056,2.8010626,0.95447,-1.4283838,0.0,0.4132,0.0048,3359.0,42.0
211973760,13.721,0.021,13.126,0.032,12.842,0.023,18.46,5.494,0.068,2.7372808,0.9822629,-0.47960532,0.0,0.3504,0.0053,3156.0,42.0
211991662,14.356,0.029,13.746,0.034,13.448,0.029,18.5,5.407,0.106,2.9105434,1.0295398,0.768904,0.24508709,0.2707,0.0065,3343.0,43.0
211921859,13.671,0.022,13.058,0.028,12.826,0.031,17.63,5.255,0.076,2.6904688,1.1503222,3.808324,3.9596565,0.3677,0.0068,3406.0,43.0
211939484,12.952,0.02,12.358,0.021,12.103,0.017,17.14,5.491,0.04,2.377883,1.0246956,0.7391132,0.0,0.4693,0.0038,3328.0,43.0
211896979,11.333,0.02,10.84,0.021,10.677,0.017,13.295,5.377,0.026,1.3542347,1.115157,2.5174663,11.347415,0.787,0.0665,4627.0,78.0
211958260,10.725,0.023,10.341,0.03,10.244,0.016,12.241,5.566,0.016,1.0757818,0.87151825,-2.9262004,1.0052792,0.9162,0.0098,5107.0,80.0
211995082,13.483,0.023,12.825,0.025,12.594,0.024,18.04,5.492,0.052,2.5901403,1.0145177,0.44416726,0.0,0.389,0.005,3211.0,43.0
211932923,11.088,0.018,10.583,0.019,10.461,0.018,12.682,5.449,0.025,1.2305174,1.0465484,0.9835795,5.5714526,0.8525,0.0069,5018.0,78.0
211959786,10.931,0.02,10.467,0.022,10.363,0.017,12.507,5.272,0.016,1.1228657,1.0442061,1.0576607,4.8859277,0.9154,0.0105,5038.0,78.0
212075988,11.953,0.022,11.274,0.019,11.119,0.019,14.352,5.314,0.019,1.6908178,1.0849085,2.4215198,0.47770536,0.6381,0.0031,4233.0,77.0
211822797,12.277,0.022,11.605,0.033,11.429,0.015,15.133,5.363,0.024,1.9485092,1.0732845,2.1947434,1.8947807e-15,0.5874,0.0028,3902.0,76.0
212024554,14.483,0.027,13.842,0.032,13.599,0.041,19.64,5.418,0.107,2.9749985,1.0163996,0.4021894,2.4927487e-15,0.2516,0.0071,3039.0,43.0
211991549,13.77,0.024,13.113,0.024,12.897,0.022,18.5,5.305,0.074,2.741498,1.0790879,1.9271781,1.7593702,0.3536,0.0057,3159.0,43.0
211978972,14.379,0.034,13.734,0.043,13.403,0.038,19.3,5.327,0.107,2.9320488,1.0036862,0.12594497,0.0,0.2806,0.0076,3104.0,43.0
211948214,14.133,0.024,13.572,0.035,13.331,0.031,19.34,5.245,0.083,2.850463,1.0224798,0.6691229,0.68001795,0.2946,0.0063,3026.0,42.0
211971074,11.675,0.018,11.047,0.019,10.908,0.015,13.95,5.589,0.02,1.6181688,1.0128422,0.3993585,0.0,0.6534,0.0025,4337.0,77.0
211906187,11.759,0.015,11.156,0.019,11.004,0.013,13.906,5.396,0.023,1.5961456,1.047112,1.0690566,0.0,0.6504,0.0024,4451.0,76.0
212078811,12.883,0.02,12.263,0.023,12.006,0.023,16.89,5.641,0.066,2.3595219,1.0172217,0.5028914,17.42659,0.4756,0.0057,3389.0,43.0
211795467,13.652,0.023,13.079,0.03,12.707,0.021,17.78,4.964,0.058,2.6707907,0.9030626,-2.2010374,0.0,0.4061,0.0053,3348.0,43.0
211827577,14.547,0.036,13.91,0.041,13.606,0.034,19.74,5.872,0.125,3.0760746,0.9672346,-1.057343,0.0,0.2307,0.0063,3030.0,43.0
211902072,11.003,0.02,10.542,0.026,10.469,0.018,12.54,5.497,0.019,1.1506577,1.0270327,0.6384204,4.6639333,0.8434,0.0065,5083.0,78.0
212034371,10.383,0.022,9.914,0.024,9.828,0.019,11.947,5.324,0.019,1.0003843,0.89686835,-2.874053,14.500212,1.0423,0.0023,5052.0,79.0
211947006,11.089,0.018,10.657,0.024,10.526,0.018,12.623,5.389,0.017,1.1169586,1.0491362,1.4389936,5.811712,0.8388,0.0064,5087.0,78.0
211803674,15.009,0.034,14.441,0.041,14.055,0.044,19.98,5.435,0.177,3.1902008,0.95526594,-0.9822219,0.0,0.2019,0.008,3090.0,43.0
211934172,14.846,0.032,14.266,0.047,13.979,0.048,19.89,5.098,0.213,3.4991608,0.93240935,-1.6103437,2.224761,0.2236,0.0109,3070.0,43.0
212082288,13.331,0.022,12.713,0.024,12.455,0.025,17.9,5.304,0.063,2.7172909,0.97249633,-0.7817425,0.0,0.4236,0.0059,3207.0,43.0
211956407,11.734,0.018,11.1,0.021,10.965,0.02,13.942,5.454,0.022,1.6187019,0.9889895,-0.21849549,2.5269983e-15,0.6527,0.0033,4396.0,77.0
211981509,10.823,0.018,10.428,0.015,10.372,0.021,12.226,4.909,0.021,0.9180279,1.2112697,5.827947,15.77627,0.9852,0.0036,5242.0,78.0
211897713,14.012,0.03,13.37,0.036,13.147,0.034,18.65,5.858,0.09,2.7273312,1.0172384,0.40558127,0.01698816,0.2872,0.0063,3186.0,43.0
211948267,10.841,0.018,10.396,0.019,10.288,0.016,12.392,5.51,0.018,1.0922327,0.9614813,-0.9960548,4.5579534,0.9035,0.0089,5067.0,78.0
212109351,13.73,0.024,13.12,0.022,12.87,0.025,18.24,4.538,0.076,2.5394373,1.0464435,1.1414307,1.1154737,0.4112,0.0072,3225.0,43.0
212108286,13.881,0.022,13.253,0.021,13.017,0.027,19.06,5.689,0.077,2.8071089,1.001192,0.057290338,0.0,0.3137,0.0056,3034.0,42.0
212026716,14.595,0.03,13.869,0.04,13.718,0.038,19.98,5.408,0.144,3.420477,0.97057337,-0.7921892,0.0,0.2382,0.0078,2982.0,43.0
212129124,13.813,0.017,13.137,0.026,12.97,0.03,18.06,5.482,0.075,2.8116798,1.0634578,1.8303801,1.3770347,0.3321,0.0062,3309.0,42.0
212155860,14.646,0.029,14.017,0.035,13.718,0.032,19.65,5.773,0.123,2.9988422,1.0557451,1.472268,0.384364,0.2226,0.006,3081.0,43.0
211999343,11.87,0.016,11.225,0.021,11.074,0.015,14.265,5.357,0.019,1.6775703,0.98846555,-0.2719247,0.0,0.6423,0.0025,4237.0,76.0
211978243,11.07,0.019,10.6,0.02,10.49,0.015,12.645,5.226,0.016,1.1626654,1.0420277,1.110847,6.375134,0.873,0.0055,5039.0,78.0
212092636,13.89,0.023,13.291,0.023,13.023,0.024,17.67,4.778,0.081,2.6566515,1.0944369,2.8032696,1.2172383,0.3692,0.0068,3471.0,43.0
211938817,14.665,0.032,14.016,0.041,13.826,0.048,19.92,5.542,0.196,3.1690502,1.0166823,0.49187383,0.61910206,0.2206,0.0095,3014.0,43.0
212008710,11.7,0.016,11.089,0.021,10.947,0.018,13.869,5.439,0.016,1.5424776,0.9877079,-0.37006757,0.0,0.6563,0.0028,4431.0,76.0
211889983,11.114,0.02,10.675,0.022,10.586,0.017,12.615,5.022,0.018,1.121047,1.0056514,0.15893987,4.1637435,0.8699,0.0062,5125.0,79.0
211927174,14.381,0.029,13.815,0.048,13.54,0.04,19.4,5.362,0.099,2.987545,1.0485758,1.3832577,0.5231849,0.2614,0.007,3076.0,43.0
211951223,14.643,0.027,14.098,0.029,13.763,0.04,19.64,5.813,0.127,3.0902748,1.0252113,0.74982035,0.0,0.2164,0.0064,3083.0,43.0
211959273,11.702,0.016,11.165,0.021,11.037,0.02,13.64,4.616,0.022,1.3741083,0.9072543,-2.0689316,0.0,0.6958,0.0033,4651.0,77.0
212083165,14.255,0.023,13.632,0.031,13.4,0.04,19.14,6.066,0.111,2.9644604,1.0666679,1.9003452,1.5470089,0.2461,0.0066,3114.0,43.0
211935711,11.809,0.016,11.182,0.019,11.01,0.016,14.144,5.509,0.023,1.6865377,1.0240803,0.55176586,0.0,0.6427,0.0028,4286.0,76.0
211930461,11.485,0.02,10.763,0.019,10.757,0.027,13.94,5.411,0.025,1.7677984,0.93476903,-1.3646452,0.0,0.6862,0.0043,4188.0,77.0
211997380,10.042,0.02,9.77,0.019,9.649,0.018,11.32,5.247,0.033,0.86011505,1.2800319,5.7992926,40.608353,1.0857,0.0113,5396.0,79.0
211985566,12.602,0.018,11.936,0.019,11.716,0.02,15.599,5.428,0.032,2.1790476,1.0366408,0.8915274,0.0,0.5372,0.0039,3817.0,76.0
211995288,10.187,0.02,9.898,0.019,9.803,0.017,11.426,5.283,0.023,0.8550234,0.8296148,-3.6353605,12.296934,1.0469,0.0022,5445.0,79.0
211980574,13.298,0.022,12.679,0.027,12.4,0.02,21.004,5.412,0.048,2.4754372,1.0703454,1.7529329,1.1559974,0.4255,0.0045,3266.0,46.0
211999969,13.058,0.023,12.449,0.026,12.186,0.023,16.349,5.362,0.038,2.4053144,1.0388303,0.99049664,0.40535426,0.464,0.0046,3672.0,43.0
211985987,12.596,0.018,11.944,0.018,11.756,0.023,15.589,5.339,0.032,2.0941696,1.1044132,2.3482633,0.9921217,0.5365,0.0043,3819.0,76.0
211987847,13.117,0.021,12.511,0.021,12.247,0.023,17.435,5.234,0.06,2.796239,1.2199578,5.2000403,4.8812637,0.4626,0.0056,3286.0,43.0
212009944,12.166,0.018,11.496,0.019,11.308,0.016,15.463,5.538,0.028,2.238781,1.1836994,4.2669845,2.1668978,0.5954,0.003,3669.0,43.0
211968228,12.752,0.019,12.065,0.021,11.881,0.02,16.055,5.456,0.035,2.212986,1.0618,1.3708231,0.26065186,0.5083,0.004,3666.0,43.0
211992843,12.683,0.026,12.001,0.029,11.816,0.02,16.128,5.452,0.045,2.2135372,0.9925601,-0.117460884,0.0,0.5193,0.0044,3604.0,43.0
211959857,12.676,0.018,11.956,0.024,11.789,0.023,15.871,5.397,0.027,2.1513004,1.010808,0.3458807,0.0,0.5273,0.0042,3717.0,43.0
211983725,12.177,0.016,11.498,0.018,11.323,0.017,15.163,5.358,0.029,2.0750647,1.1502047,3.41829,2.4698324,0.6042,0.0032,3823.0,76.0
211989299,13.36,0.02,12.751,0.024,12.506,0.023,16.769,5.338,0.058,2.5154772,1.0671407,1.5493399,1.9145545,0.4131,0.0054,3619.0,43.0
211972478,12.286,0.02,11.622,0.019,11.386,0.015,15.048,5.465,0.032,1.9538555,1.0014204,0.061537243,0.0,0.5877,0.0031,3964.0,76.0
211978157,13.406,0.026,12.85,0.034,12.534,0.024,17.566,5.173,0.063,2.696456,0.9907497,-0.17592135,1.2787531e-15,0.4196,0.0058,3337.0,43.0
211943613,12.491,0.018,11.837,0.021,11.633,0.02,15.388,5.568,0.032,2.1307478,1.0292786,0.7374984,0.0,0.5417,0.0038,3877.0,76.0
211978879,12.891,0.026,12.278,0.019,12.008,0.017,16.261,5.417,0.042,2.3084173,1.0285953,0.67105126,0.0,0.4899,0.004,3636.0,44.0
212005017,12.186,0.018,11.543,0.021,11.367,0.018,14.939,5.367,0.023,1.8912868,0.96040446,-0.94751394,0.0,0.5968,0.0032,3970.0,76.0
211971189,12.97,0.018,12.342,0.021,12.077,0.02,16.499,5.418,0.053,2.3254108,0.9215438,-1.7337748,0.0,0.4784,0.0049,3569.0,43.0
212014467,13.619,0.018,12.979,0.021,12.75,0.024,17.834,5.482,0.062,2.7341022,0.99262965,-0.14789955,0.0,0.3652,0.0053,3319.0,42.0
211968029,12.743,0.018,12.073,0.025,11.889,0.017,16.251,5.453,0.037,2.2512197,1.1715472,4.839632,3.3013587,0.5071,0.0037,3577.0,43.0
211946212,12.375,0.02,11.743,0.026,11.536,0.017,15.898,5.387,0.032,2.349534,1.024922,0.6273802,0.0,0.5689,0.0034,3571.0,43.0
211989807,13.796,0.023,13.19,0.03,12.88,0.025,17.824,5.462,0.067,2.6376,1.1176835,2.9795008,2.4461744,0.3466,0.0055,3382.0,43.0
211985346,13.57,0.018,12.902,0.026,12.659,0.026,17.64,5.36,0.056,2.6605663,0.97390926,-0.59196424,0.0,0.3872,0.0055,3368.0,42.0
211975682,12.104,0.026,11.46,0.015,11.226,0.017,15.389,5.41,0.029,2.2421541,1.0832361,1.8983599,0.0,0.6159,0.0031,3675.0,44.0
211937468,13.043,0.018,12.386,0.019,12.208,0.021,16.79,5.468,0.048,2.389886,0.9870553,-0.26470804,0.0,0.4533,0.0047,3483.0,43.0
211957804,13.898,0.022,13.284,0.022,13.014,0.02,18.157,5.359,0.073,2.7833633,0.9512658,-1.1494571,0.0,0.3329,0.0052,3305.0,43.0
