k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
211018106 0.00962 0.00278 6.22e-18 0.0051 0.0428 0.018 1.46e-17 0.0153 0.116 0.21 0.0692 0.0442 nan nan nan nan 0.000548 0.0106 0.538 1.87 2457098.34 2459486.07
211046102 0.016 0.00255 0.00203 0.000637 0.0162 0.0017 0.00133 0.000328 0.0103 0.00383 0.00135 0.00146 0.0118 0.00558 0.0017 0.000926 3.35e-05 0.000962 5.47 5.52 2457098.34 2459486.07
211067927 0.0099 0.00305 2.63e-18 0.00528 0.0267 0.0129 1.99e-17 0.0129 0.0229 0.025 0.0262 0.0652 nan nan nan nan 0.000677 0.0153 0.387 1.98 2457098.34 2459486.07
211049396 0.0132 0.00285 0.00048 0.000421 0.015 0.00196 0.00976 0.00336 0.00702 0.00279 0.00295 0.00653 0.00872 0.00385 0.00388 0.00444 0.000135 0.00335 10.9 11.8 2457098.34 2459486.07
211002985 0.00231 0.000274 0.00104 0.00217 0.0229 0.00902 0.0531 0.0168 0.0176 0.0196 0.0147 0.0264 nan nan nan nan 0.000659 0.00818 20 12.8 2457098.34 2459486.07
210998478 0.00743 0.00122 0.00212 0.00152 0.0159 0.00372 0.0275 0.00963 0.014 0.00153 0.00649 0.015 0.0212 0.00563 0.00727 0.0167 0.000303 0.00502 6.83 6.76 2457098.34 2459486.07
211077349 0.0172 0.00443 1.15e-17 0.00585 0.0273 0.00741 0.0026 0.0075 0.00528 0.00135 0.00493 0.0137 0.00671 0.0019 0.00379 0.0112 0.000276 0.00541 0.7 0.699 2457098.34 2459486.07
211059979 0.0119 0.00434 0.000862 0.00323 0.0245 0.00749 0.00412 0.00697 0.00347 0.00218 0.00249 0.00693 0.00591 0.00305 0.00405 0.0116 0.000226 0.00348 0.889 0.889 2457098.34 2459486.07
211098454 0.0163 0.00301 0.0151 0.00288 0.00828 0.000916 0.0252 0.00609 0.031 0.0299 0.0144 0.015 0.0385 0.0357 0.0163 0.0115 0.000276 0.00579 23.1 17.2 2457098.34 2459486.07
211084148 0.017 0.00368 6.69e-18 0.0102 0.0261 0.00846 0.00238 0.0108 0.0458 0.0879 0.0229 0.0333 nan nan nan nan 0.000983 0.00888 0.713 2.1 2457098.34 2459486.07
211013627 0.00257 0.000723 0.000895 0.00295 0.0445 0.0141 0.00981 0.0168 0.0096 0.00488 0.021 0.0587 nan nan nan nan 0.000684 0.0125 1.02 1.01 2457098.34 2459486.07
211071431 0.00947 0.00252 6.07e-18 0.00461 0.0219 0.00906 0.00233 0.01 0.00988 0.00493 0.0185 0.0497 nan nan nan nan 0.000644 0.0112 0.603 0.603 2457098.34 2459486.07
211106429 0.0463 0.0105 0.00755 0.00538 0.0808 0.0165 0.0705 0.0243 0.0267 0.00381 0.00367 0.00645 0.0293 0.00643 0.00319 0.00432 0.000135 0.00313 2.98 2.96 2457098.34 2459486.07
211055359 0.00634 0.00195 0.00117 0.00611 0.0726 0.0369 4.94e-17 0.0334 0.00844 0.00476 0.0117 0.0327 nan nan nan nan 0.000928 0.00888 0.496 0.496 2457098.34 2459486.07
210994935 0.011 0.00238 0.00301 0.00136 0.0177 0.00447 0.0169 0.0048 0.0195 0.00219 0.00425 0.00653 0.0192 0.0022 0.00303 0.00435 0.000117 0.00315 4.18 4.27 2457098.34 2459486.07
210974364 0.00871 0.00296 0.0023 0.00242 0.0194 0.00497 0.0136 0.00718 0.0566 0.0904 0.0208 0.0196 0.257 0.549 0.137 0.0608 0.000316 0.00614 1.98 2.31 2457098.34 2459486.07
210988354 0.0152 0.00367 3.95e-18 0.00452 0.0198 0.00562 5.29e-18 0.00503 0.0138 0.00221 0.00285 0.00789 0.0276 0.0414 9.69e-17 0.0112 0.000149 0.00372 0.325 0.325 2457098.34 2459486.07
210862226 0.00532 0.00178 0.00486 0.00252 0.0349 0.0113 0.0473 0.0104 0.0179 0.0132 0.0178 0.036 nan nan nan nan 0.00045 0.00947 23.1 15 2457098.34 2459486.07
211066186 0.0148 0.00752 0.00865 0.015 0.0317 0.0118 0.055 0.014 0.06 0.0384 0.0159 0.0183 nan nan nan nan 0.000671 0.00629 20 13.1 2457098.34 2459486.07
211064722 0.00363 0.0029 0.00369 0.00672 0.0675 0.0227 0.211 0.0524 0.0115 0.0106 0.0084 0.0177 nan nan nan nan 0.000483 0.00599 15 12.8 2457098.34 2459486.07
211053031 0.00395 0.00153 0.00295 0.00566 0.0161 0.00209 0.0371 0.013 0.0367 0.0322 0.0252 0.0432 nan nan nan nan 0.000852 0.0118 22.2 12.8 2457098.34 2459486.07
211010807 0.0076 0.00278 2.54e-18 0.00465 0.0182 0.00691 6.8e-18 0.00934 0.011 0.0065 0.0152 0.0418 nan nan nan nan 0.000567 0.0114 0.404 0.404 2457098.34 2459486.07
211078565 0.00626 0.00187 0.000631 0.00387 0.0239 0.0138 0.00149 0.00981 0.00992 0.00744 0.0192 0.0515 nan nan nan nan 0.000614 0.0125 0.366 0.366 2457098.34 2459486.07
210965155 0.00387 0.00131 0.000263 0.000227 0.00723 0.00259 0.00871 0.00236 0.0048 0.00211 0.00245 0.00518 0.00475 0.00153 0.00203 0.00328 9.66e-05 0.00274 6.47 6.83 2457098.34 2459486.07
211079830 0.0112 0.0031 6.42e-18 0.00789 0.0189 0.00676 1.56e-17 0.0108 0.00635 0.0045 0.0155 0.0399 nan nan nan nan 0.000799 0.00959 0.344 1.66 2457098.34 2459486.07
211106743 0.0179 0.00284 0.000901 0.000313 0.0212 0.00315 0.015 0.00393 0.0124 0.0026 0.00119 0.00198 0.0147 0.00275 0.00256 0.00147 4.76e-05 0.00129 6.68 6.68 2457098.34 2459486.07
211071351 0.011 0.00263 6e-18 0.00692 0.0201 0.00787 1.36e-17 0.0102 0.0606 0.0759 0.055 0.073 nan nan nan nan 0.000736 0.0138 0.416 1.22 2457098.34 2459486.07
211111400 0.0164 0.00475 0.00148 0.00477 0.0362 0.0153 0.00701 0.011 0.0131 0.00379 0.00746 0.0205 0.0115 0.00379 0.00439 0.014 0.000327 0.00735 0.707 0.575 2457098.34 2459486.07
211092430 0.019 0.00492 5.05e-18 0.00694 0.0286 0.011 1.77e-17 0.0095 0.00341 0.00129 0.00672 0.0212 nan nan nan nan 0.000711 0.00671 0.364 0.364 2457098.34 2459486.07
210977779 0.0109 0.00258 4.14e-18 0.00415 0.0427 0.0237 1.55e-17 0.0152 0.144 0.221 0.102 0.0525 nan nan nan nan 0.000699 0.0105 0.505 2.2 2457098.34 2459486.07
211049322 0.0125 0.0043 0.000863 0.00028 0.0122 0.00374 0.00103 0.000343 0.00962 0.00356 0.00113 0.00156 0.0102 0.00324 0.00174 0.00118 3.71e-05 0.00104 5.42 5.23 2457098.34 2459486.07
211030439 0.0237 0.00724 0.00595 0.00268 0.0266 0.00497 0.0166 0.0064 0.0113 0.00292 0.00336 0.00676 0.0176 0.0192 0.00566 0.00458 0.000132 0.00328 3.05 3.02 2457098.34 2459486.07
211089274 0.00922 0.00339 0.000478 0.00213 0.0114 0.0041 0.00125 0.00273 0.0172 0.00879 0.00358 0.00569 0.0186 0.00727 0.00307 0.00476 0.000117 0.00282 0.678 0.674 2457098.34 2459486.07
211047687 0.00541 0.00244 4.34e-18 0.00442 0.0116 0.00651 1.1e-17 0.00803 0.0128 0.00542 0.0143 0.0348 0.01 0.00333 0.00925 0.0272 0.000461 0.0101 0.153 0.305 2457098.34 2459486.07
211035702 0.00927 0.00131 0.000465 0.000304 0.0108 0.0029 0.00661 0.00164 0.00955 0.00362 0.00281 0.00534 0.0109 0.0041 0.00283 0.00378 0.000103 0.00292 9.54 8.84 2457098.34 2459486.07
211117077 0.0287 0.00796 0.00649 0.00303 0.0341 0.0072 0.00972 0.0038 0.0253 0.00544 0.00416 0.00576 0.0393 0.0317 0.0124 0.00641 0.000128 0.00285 3.01 3.02 2457098.34 2459486.07
211091381 0.0302 0.00122 0.00213 0.00133 0.0344 0.00225 0.0113 0.00371 0.018 0.00561 0.00367 0.00575 0.023 0.0109 0.00592 0.00456 0.000127 0.00307 4.49 4.46 2457098.34 2459486.07
211035968 0.0111 0.00443 0.00171 0.000821 0.012 0.00376 0.00178 0.000462 0.00894 0.0033 0.000968 0.00136 0.00917 0.00337 0.000847 0.00078 3.02e-05 0.000879 4.01 4.21 2457098.34 2459486.07
211096368 0.02 0.00797 0.00459 0.00357 0.0393 0.00937 0.0331 0.0282 0.0168 0.00555 0.00125 0.0012 0.017 0.00565 0.00112 0.000788 2.68e-05 0.000784 1.48 1.45 2457098.34 2459486.07
211081593 0.0216 0.00718 0.00276 0.00116 0.023 0.00736 0.00362 0.00113 0.0256 0.00489 0.00199 0.00163 0.0281 0.00895 0.00246 0.00137 3.73e-05 0.00105 4.66 4.74 2457098.34 2459486.07
211025716 0.0188 0.00857 0.00573 0.00274 0.0215 0.00852 0.00325 0.00117 0.0146 0.00416 0.00173 0.00166 0.0205 0.0124 0.00362 0.00176 3.65e-05 0.00104 2.53 2.49 2457098.33 2459486.07
211113345 0.00574 0.00284 0.000693 0.000327 0.00597 0.00307 0.000791 0.000234 0.0057 0.00174 0.000854 0.00121 0.00637 0.00192 0.000741 0.000701 2.81e-05 0.000794 4.04 4.01 2457098.34 2459486.07
