k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
210579563 0.00495 0.0011 0.00101 0.00156 0.0162 0.00646 0.00705 0.00457 0.00235 0.0012 0.00297 0.00701 0.0115 0.0183 0.00535 0.00469 0.000173 0.00355 1.28 3.17 2457098.34 2459486.07
211026112 0.0042 0.00105 0.000833 0.0016 0.0308 0.0127 0.02 0.0116 0.00291 0.000634 0.0031 0.00894 0.0326 0.0568 0.0136 0.0112 0.000186 0.00434 1.32 1.34 2457098.34 2459499.31
210769813 0.00914 0.00264 0.00235 0.00193 0.0109 0.00171 0.00184 0.00146 0.00886 0.00171 0.0043 0.0101 0.00935 0.00248 0.0031 0.00631 0.000186 0.00407 1.86 1.87 2457098.34 2459486.07
210742592 0.011 0.00165 0.00307 0.00155 0.0163 0.00293 0.0112 0.00395 0.00326 nan 0.011 0.0114 0.0486 nan 0.015 0.00806 0.000233 0.00511 27.3 27.3 2457098.34 2459499.31
211036776 0.00915 0.000532 0.000314 0.000151 0.00877 0.00175 0.00823 0.00206 0.00205 0.000564 0.0012 0.00166 0.00409 0.0007 0.00203 0.00167 5.01e-05 0.00114 21.4 21.4 2457098.34 2459499.31
210490365 0.00799 0.00238 0.00169 0.00181 0.0276 0.00791 0.0186 0.0077 0.0099 0.00114 0.00297 0.007 0.0102 0.00323 0.0053 0.00442 0.000178 0.00329 1.87 1.73 2457098.34 2459512.32
210432080 0.00659 0.00273 0.0011 0.00192 0.0126 0.00351 0.00657 0.00384 0.0045 0.00201 0.00198 0.00504 0.00399 0.00198 0.00137 0.0029 0.000142 0.00277 1.45 1.44 2457098.34 2458981.22
210408563 0.0017 0.000471 0.000364 0.000154 0.0043 0.00189 0.00724 0.0021 0.00219 0.000442 0.00103 0.00158 0.00936 0.00897 0.00267 0.00103 4.88e-05 0.00108 8.59 9.25 2457098.34 2458981.22
210489127 0.00575 0.00139 0.00152 0.00102 0.0235 0.00382 0.0261 0.00912 0.00578 0.00103 0.00253 0.00634 0.0204 0.0216 0.00702 0.00563 0.000165 0.00319 3.65 3.67 2457098.34 2458981.22
211019716 0.00839 0.00439 0.00235 0.00239 0.0191 0.00926 0.000985 0.000684 0.0136 0.00412 0.00115 0.000622 0.0134 0.00389 0.0012 0.00056 1.41e-05 0.000382 1.86 1.84 2457098.34 2459499.31
210700098 0.00845 0.00234 0.00246 0.00192 0.0297 0.00945 0.0293 0.0122 0.00609 0.00111 0.00315 0.00797 0.00928 0.00634 0.00352 0.00493 0.000198 0.00393 2.34 2.31 2457098.34 2459499.31
210923016 0.00637 0.00244 3.66e-18 0.00207 0.0563 0.0245 0.00865 0.0183 0.00775 0.0018 0.00169 0.00267 0.128 0.142 0.0255 0.0193 8.5e-05 0.00166 0.579 0.784 2457861.32 2459512.32
210459199 0.0188 0.00284 0.00157 0.00159 0.024 0.00575 0.0172 0.00681 0.0152 0.0138 0.00528 0.00696 0.0167 0.0137 0.00516 0.00487 0.000176 0.00345 3.65 3.65 2457098.34 2459349.34
210828490 0.0051 0.000151 0.00339 0.00202 0.013 0.00136 0.0271 0.00928 0.00137 nan 0.00539 0.00888 0.045 nan 0.01 0.00611 0.000213 0.00421 28.6 28.6 2457861.32 2459499.31
210718930 0.0103 0.00272 0.00215 0.00245 0.0923 0.0474 0.0845 0.0293 0.00609 0.000672 0.00544 0.0144 0.00955 0.0023 0.00561 0.0135 0.000343 0.00566 2.43 2.59 2457482.59 2459486.53
210754620 0.00721 0.00172 0.000292 0.00229 0.056 0.036 0.0138 0.0153 0.00559 0.00163 0.00407 0.0124 0.00551 0.00235 0.00259 0.00858 0.000291 0.005 0.633 0.633 2457482.59 2459499.31
210743724 0.00884 0.00181 0.000735 0.000452 0.014 0.0028 0.0223 0.00507 0.00738 nan 0.00302 0.00468 0.0457 nan 0.00772 0.00316 0.00013 0.00259 28.6 28.6 2457482.59 2459499.31
210674207 0.00454 0.00185 0.000787 0.0021 0.0304 0.0125 0.00677 0.0106 0.00604 0.0017 0.00239 0.00635 0.00616 0.00133 0.00118 0.00413 0.000175 0.00316 1.05 1.05 2457482.59 2459499.31
247755982 0.0142 0.00721 0.00487 0.00247 0.0174 0.00612 0.0191 0.00629 0.008 0.0029 0.00738 0.00695 0.0195 0.0124 0.0192 0.00764 0.000185 0.00401 14 17.2 2457861.32 2459499.31
210552148 0.00381 0.00148 0.0012 0.000633 0.0193 0.00409 0.0379 0.00917 0.00216 0.0007 0.00164 0.00472 0.138 0.122 0.0816 0.0475 0.000173 0.00267 18.2 10.5 2457861.32 2459486.52
210726910 0.0123 0.00227 0.00314 0.00191 0.0158 0.00275 0.0111 0.00467 0.00485 0.00125 0.00177 0.00293 0.0144 0.016 0.00316 0.00176 8.65e-05 0.00182 3.29 3.69 2457861.32 2459499.31
210566619 0.00547 0.0019 0.000194 6.88e-05 0.0057 0.00187 0.000596 0.000165 0.00324 0.000976 0.000669 0.000893 0.0108 0.0112 0.00284 0.000487 2.61e-05 0.000654 13.4 14.7 2457861.32 2459499.31
