k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
211946063 0.00567 0.00213 0.000838 0.00101 0.0287 0.0238 0.0485 0.0101 0.0045 nan 0.00951 0.0264 0.015 nan 0.0127 0.0262 0.000368 0.00733 22.2 12.5 2457721.47 2459512.32
212025814 0.00559 0.00323 0.000851 0.000513 0.0134 0.00733 0.0238 0.00548 0.00457 0.000199 0.00401 0.00971 0.0273 nan 0.00775 0.00797 0.000189 0.00437 17.2 27.3 2457721.47 2459539.45
212019439 0.0115 0.00299 0.000648 0.00024 0.0125 0.00326 0.0086 0.00166 0.0115 0.00204 0.00135 0.00264 0.0121 0.002 0.00143 0.00149 5.6e-05 0.00164 9.39 9.54 2457721.47 2459539.45
211970147 0.00988 0.00229 0.000564 0.000184 0.0109 0.0023 0.00532 0.00129 0.0051 0.00286 0.00205 0.00314 0.0401 0.0224 0.00922 0.00457 7.62e-05 0.00197 11.6 10.4 2457721.47 2459539.45
211990953 0.0108 0.00158 0.000433 0.000187 0.0118 0.00291 0.00518 0.00125 0.00916 0.00279 0.00163 0.00397 0.012 0.00389 0.00199 0.00229 7.83e-05 0.00227 11.3 11.1 2457721.47 2459539.45
212015396 0.0055 0.00153 0.000372 0.000134 0.0061 0.00158 0.00283 0.000732 0.00755 0.00109 0.00105 0.00189 0.008 0.00123 0.000902 0.00123 4.42e-05 0.00126 9.11 9.11 2457721.47 2459539.45
212075775 0.00407 0.00222 0.000176 9.29e-05 0.0068 0.00335 0.00502 0.0011 0.00208 0.000952 0.000675 0.00193 0.0024 0.000882 0.000584 0.00117 4.19e-05 0.00129 4.52 4.3 2457721.47 2459539.45
211938350 0.00963 0.0016 0.00329 0.00376 0.0344 0.0189 0.0527 0.0139 0.0142 0.0056 0.0237 0.0635 nan nan nan nan 0.000851 0.0114 20 12.8 2457721.47 2459539.45
211989144 0.00654 0.00322 0.00189 0.00525 0.1 0.0646 0.231 0.0434 0.0166 0.00889 0.0196 0.0526 nan nan nan nan 0.000921 0.0114 7.42 7.91 2457721.47 2459539.45
212010154 0.00458 0.00202 0.000789 0.00038 0.0249 0.0151 0.0392 0.00725 0.00426 0.00151 0.00268 0.00495 0.00552 0.00192 0.0048 0.00702 0.000152 0.00247 14.7 12.8 2457721.47 2459539.45
211989950 0.00456 0.00102 0.000149 0.000226 0.00626 0.00247 0.00547 0.00137 0.00424 0.00283 0.00266 0.00642 0.01 0.00958 0.00371 0.00423 0.000117 0.00336 6.83 6.01 2457721.47 2459539.45
211993172 0.00945 0.00164 0.000571 0.000368 0.00975 0.00248 0.00393 0.000927 0.00963 0.00379 0.00298 0.00548 0.00957 0.00285 0.00248 0.00348 0.000104 0.00291 12 11.8 2457721.47 2459539.45
211905676 0.0106 0.00485 0.0016 0.00471 0.143 0.105 0.034 0.0365 0.00528 0.000477 0.0272 0.0756 nan nan nan nan 0.000874 0.0137 1.12 0.555 2457721.47 2459538.18
211996321 0.0013 0.000514 0.000158 0.000233 0.00676 0.00335 0.0132 0.00284 0.00193 0.000876 0.00222 0.00669 0.00281 0.000769 0.00181 0.00455 0.000124 0.00333 14.3 12.3 2457721.47 2459539.45
211988832 0.00375 0.00129 0.00184 0.0067 0.0761 0.0357 0.0148 0.0194 0.00915 0.00411 0.0194 0.0511 nan nan nan nan 0.00107 0.00995 0.99 0.94 2457721.47 2459539.45
211959779 0.0104 0.00417 0.000606 0.000194 0.0107 0.00448 0.00367 0.000872 0.0073 0.00103 0.000935 0.00202 0.0147 0.00704 0.00294 0.00238 4.67e-05 0.00138 8.02 7.91 2457721.47 2459539.45
211978779 0.00578 0.000916 0.000199 0.00023 0.00636 0.00252 0.00583 0.00155 0.00823 0.00323 0.00359 0.00626 0.0186 0.0146 0.00648 0.00429 0.000115 0.00321 13.7 15.8 2457721.47 2459539.45
211932539 0.00154 0.000891 0.000206 0.000156 0.00775 0.00781 0.0162 0.00274 0.00106 nan 0.00202 0.00471 0.195 0.184 0.0725 0.018 9.25e-05 0.00269 14.7 14.7 2457721.47 2459512.32
211901402 0.0076 0.00153 0.000312 0.000282 0.026 0.0179 0.0488 0.00892 0.00481 0.00123 0.00389 0.00897 0.36 0.407 0.0919 0.02 0.000154 0.00409 14.7 13.1 2457721.47 2459539.45
212031189 0.00527 0.00192 0.00126 0.00391 0.283 0.198 0.253 0.0809 0.0221 0.0131 0.0249 0.0741 nan nan nan nan 0.000932 0.0133 2.2 2.64 2457721.47 2459539.45
211936827 0.0128 0.00512 0.000785 0.000213 0.0125 0.00482 0.00182 0.000451 0.00927 0.00294 0.00132 0.00237 0.142 0.183 0.0389 0.00784 4.96e-05 0.0015 7.91 6.83 2457721.47 2459539.45
212017838 0.0159 0.0109 0.00697 0.00353 0.115 0.081 0.2 0.0375 0.0126 0.000907 0.0168 0.0353 0.239 nan 0.0607 0.0307 0.000483 0.00961 27.3 14.7 2457721.47 2459552.22
211973760 0.011 0.00453 0.00129 0.00164 0.017 0.00739 0.0285 0.00656 0.0169 0.000657 0.0168 0.0476 nan nan nan nan 0.000464 0.01 13.4 13.1 2457721.47 2459539.45
211991662 0.0132 0.00419 0.00229 0.00378 0.0432 0.0103 0.0318 0.0121 0.0168 0.0108 0.0196 0.0494 nan nan nan nan 0.00071 0.0119 2.32 2.76 2457721.47 2459539.45
211921859 0.0145 0.00749 0.00385 0.00197 0.0293 0.0125 0.04 0.00993 0.00356 4.85e-05 0.0171 0.0476 nan nan nan nan 0.000497 0.0109 21.4 6.33 2457721.47 2459538.18
211939484 0.0028 0.00221 0.000524 0.000474 0.0128 0.00856 0.0194 0.00351 0.0079 0.00326 0.00467 0.00999 0.0286 0.0064 0.0132 0.0163 0.000293 0.00462 22.2 15.8 2457721.47 2459539.45
211896979 0.00417 0.00186 0.000212 0.000132 0.00749 0.00533 0.0177 0.00264 0.00263 0.000929 0.00176 0.00365 0.0067 0.00203 0.00255 0.00266 7.86e-05 0.00229 13.4 12 2457721.47 2459552.22
211958260 0.00708 0.0016 0.000264 0.000101 0.00731 0.00164 0.000762 0.000207 0.00564 0.00182 0.00111 0.00256 0.0377 0.0479 0.00651 0.00248 5.35e-05 0.00166 9.39 6.54 2457721.47 2459539.45
211995082 0.00322 0.00121 0.00107 0.00148 0.0177 0.00395 0.0466 0.00961 0.0158 0.00781 0.0158 0.0317 nan nan nan nan 0.000441 0.0089 25 21.4 2457721.47 2459539.45
211959786 0.00405 0.00214 0.000171 0.0001 0.00563 0.00276 0.00555 0.00114 0.00297 0.000592 0.00124 0.00265 0.00485 0.0011 0.00137 0.00171 5.91e-05 0.00171 10.9 9.54 2457721.47 2459539.45
212075988 0.00598 0.00195 0.000307 0.000238 0.0071 0.00268 0.0093 0.00205 0.00986 0.00298 0.00495 0.00701 0.0305 0.018 0.0121 0.00527 0.000126 0.00367 14 14 2457721.47 2459539.45
211822797 0.00585 0.00241 0.000507 0.000337 0.0221 0.0255 0.0418 0.00967 0.00602 0.00162 0.0051 0.0105 0.00666 0.00271 0.00324 0.00702 0.000182 0.00469 15 10.7 2457721.47 2459539.45
212024554 0.00474 0.00159 0.000874 0.00363 0.163 0.0936 0.0995 0.0424 0.0161 0.0155 0.0183 0.053 nan nan nan nan 0.00089 0.011 1.34 1.35 2457721.47 2459539.45
211991549 0.00635 0.00345 0.00194 0.0018 0.0635 0.0346 0.0912 0.0181 0.0658 0.0659 0.0297 0.0285 nan nan nan nan 0.000578 0.00758 26.1 15 2457721.47 2459539.45
211978972 0.0109 0.00256 0.00207 0.00378 0.0398 0.012 0.0221 0.0103 0.00894 0.0028 0.0278 0.0841 nan nan nan nan 0.000759 0.0133 1.93 1.92 2457721.47 2459539.45
211948214 0.00453 0.00262 0.00131 0.00232 0.045 0.0335 0.0683 0.0152 0.00803 0.00336 0.0157 0.0352 nan nan nan nan 0.000642 0.00935 20.7 15 2457721.47 2459539.45
211971074 0.00486 0.00178 0.000389 0.000222 0.00689 0.00271 0.00883 0.0018 0.0046 0.00093 0.00253 0.00581 0.00734 0.00551 0.00271 0.00362 0.000109 0.00317 14.7 18.2 2457721.47 2459539.45
212078811 0.00488 0.00251 0.000718 0.000645 0.0165 0.00736 0.0376 0.00707 0.00558 0.00228 0.00396 0.00886 0.00263 0.0002 0.00567 0.0147 0.000278 0.00407 25 10 2457721.47 2459539.45
211795467 0.0111 0.0024 0.00249 0.00157 0.0162 0.00132 0.00475 0.00184 0.0187 0.00979 0.0152 0.0353 nan nan nan nan 0.000489 0.00853 27.3 27.3 2457721.47 2459539.45
211827577 0.00927 0.0033 0.00218 0.00633 0.021 0.0107 0.0134 0.00804 0.0254 0.0066 0.0373 0.107 nan nan nan nan 0.000915 0.0156 1.42 1.42 2457721.47 2459539.45
211902072 0.00779 0.0017 0.000374 0.000123 0.00833 0.002 0.00191 0.000442 0.00786 0.00326 0.00143 0.0031 0.0385 0.0133 0.00683 0.00274 6.22e-05 0.00193 9.39 8.97 2457721.47 2459539.45
212034371 0.0108 0.00551 0.0112 0.00154 0.00496 0.00119 0.0128 0.00122 0.00141 0.000252 0.00841 0.00205 0.00493 0.00311 0.00977 0.00159 4.33e-05 0.00132 19.4 15.8 2457721.47 2459552.22
211947006 0.003 0.000669 0.000197 0.000122 0.00484 0.00338 0.00777 0.00156 0.00255 0.000597 0.00112 0.00307 0.00756 0.0094 0.00206 0.00187 6.32e-05 0.00191 8.47 8.35 2457721.47 2459539.45
211803674 0.0125 0.00591 0.00839 0.00707 0.0273 0.0185 0.0416 0.0118 0.0919 0.0651 0.0781 0.164 nan nan nan nan 0.00123 0.0207 28.6 18.8 2457721.47 2459539.45
212082288 0.0332 0.00817 0.00319 0.00293 0.0381 0.00988 0.0158 0.00612 0.0104 0.00441 0.0109 0.0282 0.0101 0.00136 0.0176 0.0259 0.000391 0.00845 3.98 4.49 2457721.47 2459539.45
211956407 0.0021 0.000604 0.000247 0.000198 0.00665 0.00302 0.0133 0.0028 0.00187 0.000274 0.00236 0.00574 0.204 0.176 0.0603 0.00719 0.000111 0.00301 26.1 27.3 2457721.47 2459539.45
211981509 0.0013 0.000419 0.000168 7.7e-05 0.00234 0.000369 0.00285 0.000582 0.000838 0.00014 0.000986 0.00263 0.0144 0.00555 0.00411 0.00145 5.12e-05 0.0016 28.6 18.8 2457721.47 2459552.22
211897713 0.00687 0.00444 0.00178 0.00189 0.0447 0.0202 0.0597 0.0111 0.00667 0.00254 0.0195 0.0575 nan nan nan nan 0.000565 0.0113 27.3 17.2 2457721.47 2459539.45
211948267 0.00426 0.00163 0.000247 0.000121 0.00513 0.0022 0.00235 0.000644 0.00348 0.00136 0.000935 0.00264 0.00706 0.00713 0.00246 0.00156 5.57e-05 0.00168 4.89 4.85 2457721.47 2459539.45
212109351 0.015 0.00618 0.0015 0.00235 0.0238 0.0119 0.0425 0.0137 0.00567 0.00245 0.00872 0.0254 nan nan nan nan 0.000491 0.0107 10.5 10.2 2457721.47 2459539.45
212108286 0.00796 0.00317 0.00199 0.00268 0.0174 0.00568 0.0454 0.0105 0.00953 0.00121 0.0198 0.0496 nan nan nan nan 0.000572 0.0121 27.3 19.4 2457721.47 2459539.45
212129124 0.0171 0.00415 0.00307 0.00329 0.064 0.0524 0.106 0.0196 0.0158 0.0162 0.0093 0.0211 nan nan nan nan 0.000551 0.00685 6.76 4.85 2457721.47 2459539.45
211999343 0.00296 0.000947 0.000203 0.000219 0.006 0.00288 0.00961 0.00196 0.00208 0.000353 0.00248 0.00639 0.0527 0.0327 0.0131 0.00564 0.000124 0.00366 14.3 16.2 2457721.47 2459539.45
