k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211066337,9.897,0.031,9.541,0.042,9.416,0.023,11.374,7.595,0.02,1.0097103,0.95421356,-0.96960855,19.826008,0.9865,0.0037,5122.0,84.0
211092630,12.596,0.019,11.926,0.03,11.659,0.021,16.858,7.207,0.041,2.6234732,1.1538252,3.2786062,3.535149,0.4452,0.004,3282.0,42.0
211112685,10.828,0.019,10.197,0.028,10.07,0.02,13.071,7.41,0.018,1.3937836,1.1281407,2.5628312,7.6530485,0.6871,0.0031,4328.0,77.0
211118414,12.891,0.019,12.235,0.03,11.949,0.022,17.132,7.34,0.068,3.0221949,1.2340636,4.503693,5.1256104,0.3916,0.0047,3289.0,42.0
211112686,11.918,0.019,11.237,0.03,10.999,0.02,15.312,7.383,0.026,2.235385,1.0521954,1.0481406,0.0,0.5454,0.0035,3604.0,43.0
211056297,11.305,0.025,10.609,0.039,10.419,0.025,14.508,7.357,0.038,2.4776735,0.9595992,-0.8113642,18.704489,0.6374,0.0041,3691.0,44.0
210996584,11.903,0.019,11.235,0.023,11.036,0.018,15.658,7.195,0.033,2.368352,1.3723792,7.046674,6.1971583,0.5485,0.0033,3458.0,43.0
211065077,13.199,0.023,12.617,0.033,12.334,0.017,17.453,7.654,0.06,2.7916002,1.1976473,4.132644,3.5848315,0.3194,0.0035,3284.0,43.0
211092628,13.582,0.023,13.023,0.029,12.741,0.021,18.002,7.688,0.074,2.9233704,1.0488245,1.0410442,0.3906919,0.2636,0.0037,3231.0,43.0
211063935,12.868,0.026,12.227,0.037,11.962,0.021,16.924,7.506,0.043,2.7110186,1.131965,2.861514,2.1249015,0.3819,0.0039,3350.0,43.0
211101564,11.465,0.025,10.734,0.029,10.587,0.019,14.097,7.521,0.02,1.7045574,1.0836426,1.5664239,0.2197318,0.6044,0.0031,4014.0,77.0
211057685,14.897,0.036,14.317,0.041,13.889,0.041,19.667,7.441,0.204,3.2893085,1.0535712,1.1333365,2.7261217,0.1588,0.0052,3125.0,43.0
211071722,12.478,0.023,11.937,0.033,11.59,0.018,16.401,7.53,0.038,2.4735107,1.1365216,2.6919074,1.9127684,0.4409,0.0035,3397.0,43.0
211098921,13.279,0.024,12.621,0.029,12.36,0.018,17.556,7.343,0.073,2.7984066,1.0740938,1.4090321,1.5236866,0.3286,0.0041,3277.0,43.0
211086163,13.165,0.023,12.539,0.032,12.253,0.016,17.483,6.975,0.059,2.842578,1.0265061,0.58771735,0.757235,0.3614,0.0037,3264.0,43.0
211028956,10.318,0.022,9.818,0.026,9.704,0.023,12.122,5.957,0.015,1.2685184,0.9288403,-1.4579753,3.940549,1.0244,0.0037,4755.0,79.0
211084069,12.071,0.025,11.376,0.029,11.143,0.017,15.644,7.339,0.027,2.2880154,1.0718954,1.53556,0.6733469,0.524,0.0031,3529.0,43.0
211090866,12.695,0.028,12.036,0.03,11.803,0.023,21.09,7.261,0.046,2.6440277,1.1006508,1.9446585,1.4850967,0.4189,0.0044,4064.0,62.0
211086480,13.848,0.03,13.195,0.031,12.893,0.025,18.236,7.105,0.128,3.3146582,0.9913123,-0.1545681,4.9630556,0.266,0.0058,3241.0,43.0
211073154,14.565,0.031,13.895,0.041,13.655,0.032,19.276,7.562,0.139,3.3296375,1.0240954,0.5980324,0.8915539,0.174,0.0041,3142.0,43.0
211086387,13.503,0.026,12.882,0.034,12.611,0.026,17.754,6.737,0.062,2.9492044,1.1101922,2.5444617,0.87683237,0.3193,0.0047,3285.0,43.0
211059727,12.754,0.023,12.112,0.029,11.832,0.019,16.881,7.013,0.053,2.7161846,1.1348923,2.9644718,3.2872436,0.4265,0.0041,3326.0,43.0
211103222,12.344,0.031,11.7,0.04,11.494,0.023,16.415,7.343,0.036,2.4615822,1.0981,1.7433709,1.0405539,0.4658,0.0042,3345.0,43.0
210982761,13.367,0.02,12.791,0.021,12.461,0.021,18.18,7.447,0.072,3.1778345,0.97679853,-0.45679757,0.0,0.3098,0.0042,3113.0,42.0
211066346,13.728,0.023,13.103,0.025,12.783,0.029,18.3,7.373,0.089,3.0725603,0.9753783,-0.52882344,0.0,0.2697,0.0049,3184.0,43.0
